medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
162C56063E27DC18451B8A3B19BC5894,FF2CB1BB8010506DD060AC4255AD8917,CMT,1,N,2013-01-01 20:29:51,2013-01-01 20:37:18,1,446,1.10,-73.976738,40.752857,-73.99041,40.75127
ACA8D9C13DF158EDDE9B834A10CF29B1,CF27EBB2E57FC158EBED2DBD6D67EC9D,CMT,1,N,2013-01-07 16:18:49,2013-01-07 16:23:31,1,281,1.10,-73.968674,40.761765,-73.983467,40.755142
B222E2CE87963880CCBE410780F4146E,83F80AA199EB70B959F07FC04F6766AC,CMT,1,N,2013-01-07 08:55:10,2013-01-07 09:09:36,1,866,2.20,-73.995461,40.754517,-73.976173,40.762741
6E4D8A114CD0BBA031E633A239CAB049,E21DCA19DA97F564F7250E6554579674,CMT,1,N,2013-01-08 07:48:08,2013-01-08 07:55:57,1,468,1.30,-73.978889,40.736584,-73.978966,40.736404
3581B4A22292DCA8647587AAB7D7E152,510C95A0905404DE6737578ADC7436CF,CMT,1,N,2013-01-07 13:16:10,2013-01-07 13:27:54,1,703,4.10,-74.014015,40.715782,-73.98542,40.760201
2C46A000B2E9A770A8BBC7A9D4929BF3,AF28FB112B8E32408220F6D94C4DBF67,CMT,1,N,2013-01-08 13:48:56,2013-01-08 13:53:06,1,249,.30,-73.974297,40.762772,-73.978363,40.757217
CC6A05D589E85FE16DDD231507ED8081,2CC2C22F4B9E30A67DBE2D093E4D38B7,CMT,1,N,2013-01-07 07:50:16,2013-01-07 08:01:11,1,654,3.90,-73.980896,40.737778,-74.0075,40.705135
062D13CA188A0ECFD48D6D871DDB2176,EA38D5F0A545C7C94711A181CBEF637D,CMT,1,N,2013-01-01 15:29:42,2013-01-01 15:39:51,1,608,5.40,-73.976341,40.788418,-73.93898,40.854355
05427CE01F0016E29892E5F964979459,5AA8721FE0512FC4875613DD30CA0955,CMT,1,N,2013-01-06 19:49:54,2013-01-06 19:56:42,2,408,1.40,-73.968414,40.757961,-73.985443,40.755276
591288397FD0B096CB1ED7A6ED5B48E8,735212D2891FBB35F75F93E25C90C47C,CMT,1,N,2013-01-10 09:59:30,2013-01-10 10:10:02,2,631,1.50,-73.980392,40.742825,-73.968697,40.760345
923D00A5FB2BD13C91A588139FD1783D,A7D26239619F8D0A17700657D154DB98,CMT,1,N,2013-01-07 14:12:05,2013-01-07 14:15:53,1,228,1.00,-73.973236,40.762493,-73.961388,40.769733
D4EAADB629437CBAF010A50C968E981C,99D9DDB55A052318AEA8DFA28FBBDCE0,CMT,1,N,2013-01-05 16:20:33,2013-01-05 16:29:38,1,544,1.80,-74.000671,40.727253,-74.006897,40.745678
81528BB1EF6808390D1347F8AF7BE747,AAFE4194772FED974DED730E23C1AD33,CMT,1,N,2013-01-10 13:28:32,2013-01-10 13:43:09,1,876,2.20,-73.955147,40.782978,-73.975227,40.755283
A7F52FFD2DC9284730E2B62C9D951F5D,46677933A2D03A6C4E42B64AB799BC1B,CMT,1,N,2013-01-08 16:04:19,2013-01-08 16:06:10,1,111,.50,-73.976723,40.762165,-73.979599,40.76585
7F75D71D115A6AE6B3096228CA082992,4C8A5F5888F6BC8FAD93389B940E371F,CMT,1,N,2013-01-10 11:24:21,2013-01-10 11:31:55,1,454,.90,-73.959984,40.773312,-73.969604,40.763077
E8603093528B73721E1482B177D32652,0915F27A6784D6DDC38F0707221ECC9F,CMT,1,N,2013-01-08 10:26:56,2013-01-08 10:34:51,1,474,1.40,-73.947334,40.779457,-73.962555,40.776779
8F51E58C5A7FC1C4832351E3158F9123,22E788404722476497038D5B3A554903,CMT,1,N,2013-01-07 18:42:06,2013-01-07 18:54:50,1,763,2.90,-73.991302,40.740543,-73.982567,40.774696
D4EAADB629437CBAF010A50C968E981C,99D9DDB55A052318AEA8DFA28FBBDCE0,CMT,1,N,2013-01-05 17:44:56,2013-01-05 17:49:36,1,279,1.20,-73.994469,40.755741,-74.005074,40.741096
3F29A40A0CD96B79EE0438B70A96F644,64DC9C8491D46438C6B3FC0842982BFE,CMT,1,N,2013-01-08 15:07:40,2013-01-08 15:09:03,1,83,.40,-73.950508,40.77137,-73.947258,40.775742
260FCC66A28053FE68E2126D1939D5CE,852213E2462EC237FB91FAA387B75190,CMT,1,N,2013-01-08 13:15:50,2013-01-08 13:26:29,1,638,1.90,-73.995705,40.769451,-73.978165,40.753452
40591581511C4A6FF6FCF04D1ABCBFEF,1E94B13BB698BC3C98178429C45FDEED,CMT,1,N,2013-01-07 23:11:39,2013-01-07 23:12:24,2,44,.10,-73.782272,40.645164,-73.780228,40.645576
1BEBB9DA42B5CFBC6DEFB78377D896A3,0ABFF7CEB942E8847A7AEFFFAF2BE1B7,CMT,1,N,2013-01-07 05:45:04,2013-01-07 05:48:45,1,220,1.00,-73.909019,40.770447,-73.895065,40.777439
820B36EA63873F28807E47F980A91F73,06B5E4891A882B900B269D1353B116C7,CMT,1,N,2013-01-08 12:23:17,2013-01-08 12:39:45,4,988,6.70,-74.014038,40.714928,-73.976601,40.755348
CDC3582F806A639DB3551F1E6EB9AF9E,7AF897BDDEB34B128974DF8DBE4C413C,CMT,1,N,2013-01-07 17:23:26,2013-01-07 17:29:19,1,352,.90,-73.992302,40.737675,-74.007576,40.740845
9E2EA1F35AFD13F583CEBE6E8B56C760,D4416E488F68919EB774B1D4D9C5054C,CMT,1,Y,2013-01-01 13:05:01,2013-01-01 13:19:04,1,843,.70,-73.947563,40.770554,-73.971947,40.798149
D52D95474826BDD1322897D8A1E69810,6F1E258CBF582D1B75DE2D82CD11BF00,CMT,1,N,2013-01-07 13:21:18,2013-01-07 13:25:00,1,221,.70,-73.955833,40.779099,-73.953651,40.771935
61CC640FFF95E5457555EA160F0B854C,8178183132AF80D84B24EF3CFEEFEFA7,CMT,1,N,2013-01-07 21:15:27,2013-01-07 21:18:17,1,169,.50,-73.983704,40.743954,-73.989227,40.748028
